output_0,output_1,output_2,output_3,output_4,output_5,output_6,output_7
0.11850651,-0.014375154,-0.05011539,0.021505823,-0.12886655,-0.21209727,-0.18543093,-0.09454982
-0.32860234,-0.015244879,-0.38891226,-0.06562886,0.045916054,0.28099242,0.027991638,-0.80195355
0.28996032,-0.3874476,0.02549643,0.03519858,0.009077392,0.07179475,0.12484878,0.05719049
-0.22672589,-0.102482185,-0.48032796,-0.32356355,-0.12933108,-0.042502604,0.32307246,-0.24951555
0.06986747,-0.27614248,-0.01335808,0.09412724,0.1799693,-0.3421544,-0.48170856,-0.010035941
-0.070661575,-0.3160655,0.16567355,-0.16200088,-0.07609934,-0.038863346,-0.18078947,-0.2144275
0.076152615,0.9211911,0.030181946,0.8412008,0.9863145,-0.380842,0.2023079,0.03226223
0.16075155,0.28203318,-0.90310025,-0.1716346,-0.5812344,0.016696071,-0.60227346,-0.47149798
-0.062146887,-0.089674525,0.22838765,0.37720767,0.2784666,0.10094511,-0.16943783,-0.03060997
-0.014609852,0.1858669,0.07163102,0.042974096,0.010462931,0.11972353,0.21244332,-0.12465258
0.08005573,0.53236777,-0.16664079,-0.2036307,-0.022844773,0.019703519,-0.2523754,0.09906469
-0.027556691,0.25546703,0.2653907,-0.051250987,-0.20270938,0.27673078,0.23841509,0.092431016
-0.12983614,0.052460864,0.031455413,-0.0792359,0.10073787,0.013720718,0.04812896,0.12077479
-0.058451306,0.00030391375,-0.17854033,-0.25818986,-0.030841928,0.47948945,0.10064016,0.02696849
-0.12151695,0.065275624,-0.12453387,-0.19128285,0.022550013,-0.13241671,-0.3973971,-0.09237387
0.060767535,0.11294167,0.19870567,-0.0110087,-0.015077417,-0.24100305,-0.024097795,0.036391895
0.13931118,0.10098324,-0.014529479,0.012371376,-0.043940023,-0.0066386694,0.105685316,-0.17433086
0.21930143,0.039242096,0.14748041,0.15169692,-0.14750874,0.22737132,0.016010566,-0.12124134
0.16148047,-0.07870055,-0.09373065,0.37416187,0.0846645,-0.15759689,0.019972049,0.097098775
0.025829604,0.14549515,-0.1711831,0.12817262,0.3400476,-0.13388826,0.13670109,0.101044714
-0.05720184,0.13815042,0.21834858,-0.044049356,-0.054465286,-0.10018801,-0.031348724,0.11713572
0.57032996,0.10359768,-0.0938516,-0.37766165,-0.04683005,0.4629269,0.17065322,-0.51676065
0.021886226,0.056076005,0.27593645,0.085034676,-0.123183005,0.00029305165,0.04630261,0.28838128
0.12012474,0.5859344,-0.15677124,0.04514955,-0.19810389,0.16617617,0.1311819,-0.06372157
-0.26660216,-0.12214314,0.17250454,0.0796496,0.05551391,-0.1355497,-0.051341943,0.439949
-0.0711019,0.036005165,-0.10481114,0.1428043,0.015143158,0.037248984,0.010195268,0.11639216
-0.20418817,-0.24351837,0.05303953,0.1500301,0.45003143,-0.3826216,0.0036886472,0.00024154678
-0.540255,-0.4540094,0.15436776,-0.22679757,-0.4688754,-0.046699725,-0.4370185,-0.0996714
-0.06591167,-0.12945044,-0.3590719,-0.07108571,0.0131144645,-0.07140363,-0.15169545,0.1094088
0.35929537,0.03965225,0.058684967,-0.10492589,-0.0053980513,-0.12162733,0.041144423,-0.05336159
-0.38702634,0.07169786,0.123663835,-0.16665913,0.23893178,0.07490868,-0.1466814,-0.091020994
0.27042684,0.101560526,0.17713937,-0.14925572,-0.109729595,0.0587417,-0.00834952,-0.031282824
0.07370472,-0.065754615,-0.2894727,-0.11678328,-0.03513176,0.01107791,-0.12043165,0.1437938
0.028711336,-0.044904247,-0.062004633,-0.13223308,0.13997768,-0.032243725,0.13430035,-0.2292761
-0.06148499,-0.060339026,0.13467878,0.03942789,-0.15889777,-0.091882855,0.02597146,0.14483784
-0.18402667,-0.2648111,0.148359,0.108999975,-0.1258586,0.33392382,0.25350323,-0.06271415
-0.111955814,-0.028405236,-0.2030809,-0.10760576,0.030223746,0.1950281,-0.0131187225,0.17441678
0.17109169,0.11711644,-0.023925997,0.2007666,-0.5153433,0.26013112,0.022270959,-0.02705048
-0.28120658,-0.024881698,-0.2555323,-0.1592831,0.100862235,-0.12180159,0.30210096,0.03132702
0.25349316,-0.040204894,0.13134742,-0.13464281,-0.19107297,-0.013560153,0.03572025,0.30392504
-0.04261002,-0.019963758,0.1305648,-0.1489149,-0.07049446,0.22977242,0.1506992,0.20767593
0.0021297599,0.056322798,0.14551845,0.11458577,-0.17960657,0.070690006,0.072770335,-0.110781044
-0.121716686,0.14660214,0.14736949,0.025743218,0.31274283,0.063900314,-0.12580669,0.42840844
0.05927239,0.27541134,0.31893188,0.050664708,-0.31555167,0.2911081,0.17907344,-0.013514275
0.29227555,-0.22199106,0.122621335,-0.3732068,-0.31095922,-0.018918056,0.061484225,0.1595018
0.104219735,-0.11108849,0.071702905,-0.016967025,0.10345709,0.1824675,-0.006057261,-0.0878566
-0.007715147,-0.023545003,0.22046019,-0.007981281,-0.16605778,0.008231996,-0.11619105,-0.09129719
0.075283274,0.17231117,0.018837122,0.26121253,-0.16214642,-0.15056187,-0.030765936,-0.26478663
0.03468707,-0.095055304,0.022079045,0.30799848,-0.058800522,0.077836104,-0.03417432,-0.1401398
0.13618086,-0.00843878,-0.40909183,0.12382493,-0.13414454,-0.16851251,-0.25066617,0.14319779
-0.18797109,-0.046793155,0.43800536,-0.009034196,-0.01302101,0.18434626,-0.4157073,-0.104350254
-0.2598914,-0.07452188,-0.004845762,-0.17096823,-0.2177691,0.037466843,0.42727855,0.14186525
-0.091272116,-0.06859056,-0.21839343,-0.096133836,0.27819437,0.30006385,0.19070134,0.0745358
0.27834007,0.032637548,0.11794183,-0.04388658,-0.057456866,-0.29833332,-0.16676943,-0.3764087
-0.24982816,-0.04340501,-0.08058718,0.034682795,-0.09294283,-0.014466047,0.09934315,0.048338924
0.07899497,0.21821807,-0.042478718,-0.22507821,0.06164014,0.0029994799,0.048268076,0.061311383
-0.07763812,0.123679824,-0.042640332,0.21140814,0.205331,0.12792219,0.19010766,0.1467391
0.21154611,0.041085348,-0.20881358,0.12464657,-0.1373908,0.06913484,-0.15222229,-0.13196105
-0.3202121,0.21952625,0.19368893,0.15926655,-0.15387538,0.11472788,0.027291065,-0.038948033
-0.48742288,-0.051292088,0.0353333,-0.45328718,0.35851085,0.20140323,0.11180938,-0.21134397
-0.14057766,-0.014261513,-0.31386203,-0.018846149,-0.025838954,0.3643592,0.30121514,-0.021962805
-0.23349576,-0.10745348,-0.18178499,-0.04989996,-0.118253425,-0.07588636,-0.28340957,0.06816511
0.11612738,-0.010259522,0.15171857,-0.14217995,-0.27304804,-0.10007489,0.06833649,0.025620496
-0.24336828,-0.04352537,-0.14853497,-0.31602314,0.10458051,0.22619033,0.027116885,-0.12176157
0.11871207,-0.11801787,0.055379156,-0.016181795,0.2152982,0.015384909,0.28009924,-0.2205114
0.2146035,-0.020750044,0.24134131,-0.22448367,-0.05066387,0.29653668,0.28082448,0.090886734
0.033753846,0.027374731,-0.15524782,-0.13749284,-0.25219855,-0.01795014,-0.11679543,0.10408925
-0.3444929,-0.014080151,0.06283139,-0.23259225,-0.18398865,0.11888233,0.3205977,0.01700132
0.054139044,0.021018384,0.092560574,-0.12841491,-0.37703902,0.14809063,-0.08798273,0.07397873
-0.5952436,-0.08522046,0.37450275,-0.20622206,0.36395738,0.06593624,0.8248831,0.54917854
-0.29480612,0.036853593,-0.014041385,-0.09297528,-0.019722514,-0.16187061,-0.10124375,0.2136995
-0.14015551,-0.112556785,0.1061324,0.24571373,-0.043331567,0.07662328,0.016054174,0.10079435
-0.29779342,0.0077519943,-0.3264054,-0.11076407,-0.17344454,0.2307268,0.00077387167,-0.43289268
-0.17860618,-0.072079234,-0.34154,-0.066066846,0.016743079,0.23398316,-0.05349617,-0.19067784
-0.21315499,0.13875291,0.103517815,-0.16078235,0.28045613,-0.015531585,-0.099958174,0.1132699
0.021891098,0.048425112,-0.014693566,-0.02084799,-0.08130005,-0.14823112,-0.1287081,-0.18751426
0.49700046,-0.08282834,-0.18352923,-0.013057199,0.039289787,0.07572423,-0.22320943,-0.09685717
-0.028932313,0.0062169996,-0.05991084,-0.1765123,0.13878739,-0.07967325,0.07315526,-0.04035008
-0.14710025,0.22160187,-0.057438135,0.025209686,-0.010881136,-0.097487584,0.22420555,-0.15326034
0.055216357,0.15137334,0.07575264,-0.125839,0.09136186,-0.22102307,-0.11911705,0.0068036555
-0.0797133,-0.25594935,-0.06712432,0.06240932,-0.21509531,-0.0388092,-0.25481084,0.21686986
0.32769635,0.2834841,0.009149906,0.15512876,-0.13833328,0.06826788,-0.027430527,0.090730175
-0.25919005,0.13626021,-0.17068554,0.07942536,0.06816431,0.15313272,-0.12725262,0.24730833
0.055765115,0.03951386,-0.14494401,0.07200233,-0.052248243,0.29616734,0.0009074999,0.10781345
-0.020047018,0.03771202,0.09814208,0.30288652,-0.080962814,0.28351673,-0.23641314,-0.05200867
-0.3715956,-0.11498599,-0.030851014,-0.043389417,-0.11685725,-0.25935116,0.07983778,-0.16793069
-0.24536319,0.36202332,0.47226068,-0.04610243,0.23119351,0.33770257,0.13439232,0.06539845
-0.2783841,-0.13663848,0.013533955,0.30611312,-0.16789553,0.14941895,0.087835215,0.33787084
0.02991176,-0.099271536,-0.17722446,0.09690009,0.12595452,-0.09703359,0.04419499,0.14452374
0.106586695,-0.079741746,0.21896605,0.04833712,-0.26127756,0.045396995,-0.19566472,0.18616922
-0.09940317,-0.00060759485,0.031551417,-0.15789662,0.029268777,0.1216873,-0.39427996,-0.009023638
-0.1355799,-0.029586745,-0.016220447,-0.17634715,-0.4629499,0.051393066,0.29046476,-0.72512263
0.19175702,-0.2936057,0.13681251,-0.21622413,-0.08511441,-0.24752323,0.006714523,0.20759608
-0.4274813,0.3859399,-0.12798044,-0.07981651,0.47879878,-0.29578292,-0.080733575,-0.029114913
-0.10700748,-0.08657024,-0.04252675,0.5768701,-0.64138144,0.35203916,-0.18479778,-0.0133655295
-0.0063286456,-0.05214842,0.12240568,0.108090885,-0.14767572,-0.31509402,-0.14738442,-0.005207369
0.3431802,-0.10901962,-0.22989923,-0.1499108,-0.07167685,-0.22119936,-0.18328938,-0.26905409
0.31677434,-0.54999155,-0.39871138,0.5119152,0.35776114,0.18141508,-0.28842208,-0.36690158
0.24297509,-0.11722952,-0.64120346,-0.07093758,0.30027607,-0.31840783,-0.45625147,0.19711033
0.090004824,-0.36718878,-0.59500396,0.03342859,0.14191228,0.19481859,0.18276569,-0.83042145
0.5955592,-0.05936236,-0.23857914,0.21913114,-0.1769466,-0.34880298,0.23796822,0.050345935
-0.019486273,0.082657754,-0.11432668,-0.28695208,-0.035587907,-0.1718363,-0.3617994,-0.26068282
-0.40912172,0.34611008,0.22432108,-0.00022431274,-0.19418353,-0.16941938,-0.35927787,-0.14612338
-0.29390997,0.0006967441,0.1430366,0.13187465,-0.10945291,0.032650325,0.13422513,-0.061981898
0.1661376,-0.20973413,0.52426237,-0.41699836,0.51376677,-0.36219653,-0.22848406,0.08446998
0.22557473,0.15370396,-0.106106825,-0.132042,-0.0012254382,-0.015673578,-0.049728435,-0.0063939984
-0.18648086,-0.20811702,0.18579079,0.12860414,0.0044503133,-0.45105517,0.14189465,0.4009432
0.032227077,-0.059856772,-0.072236605,0.057939313,-0.11382932,-0.4334052,0.11516053,-0.2701582
0.3535817,0.38384908,0.08514641,-0.34651786,0.28922588,0.19903766,-0.02396915,-0.03632906
-0.12409828,-0.047205053,0.060626306,0.30273765,0.5491557,0.7318492,0.30272335,-0.25965235
0.098690644,-0.08346769,-0.20444775,-0.053228762,0.0007334021,-0.18134855,0.096669376,-0.07503247
-0.041524522,0.10886767,0.08303107,0.0146315275,-0.11379503,0.043219887,0.13352269,0.11519624
-0.2534252,-0.047892738,0.0020044001,0.086256936,-0.01726784,-0.07349091,0.36776152,0.036606416
0.012030976,-0.095474444,-0.022446971,0.22258924,-0.37507024,0.2258038,0.039288864,0.11574349
-0.2639007,-0.075749375,-0.09017003,-0.012082676,-0.029159408,-0.26738805,-0.13855632,-0.07101307
-0.22871234,-0.13183185,0.11916423,0.030091329,-0.17376724,0.015751075,0.16360229,-0.10262165
-0.15925235,-0.20385212,0.34438616,-0.5167628,-0.30609542,-0.104551725,0.06852576,-0.018534591
-0.0735072,-0.20097874,-0.14930499,0.014817492,-0.21763624,0.18482307,-0.07968485,-0.0060170656
